No,word,POST,Meaning,Amharic,"["""
2583,intercessor,n,A mediator,አስታራቂ,
2584,interdict,n,Authoritative act of prohibition,እገዳ,
2585,interim,n,Time between acts or periods,ጊዜ,
2586,interlocutor,n,One who takes part in a conversation or oral discussion,ተናጋሪ,
2587,interlude,n,An action or event considered as coming between others of greater length,ዕረፍት,
2588,intermediate,adj,Being in a middle place or degree or between extremes,መካከለኛ,
2589,interminable,adj,Having no limit or end,ማለቂያ የሌለው,
2590,intermission,n,A recess,ዕረፍት,
2591,intermit,v,To cause to cease temporarily,ማቋረጥ,
2592,intermittent,adj,A temporary discontinuance,የሚቋረጥ,
2593,interpolation,n,Verbal interference,ማስገባት,
2594,interpose,v,To come between other things or persons,ማስገባት,
2595,interposition,n,A coming between,ማስገባት,
2596,interpreter,n,A person who makes intelligible the speech of a foreigner by oral translation,ተርጓሚ,
2597,interrogate,v,To examine formally by questioning,መጠየቅ,
2598,interrogative,adj,Having the nature or form of a question,የጥያቄ,
2599,interrogatory,n,A question or inquiry,ጥያቄ,
2600,interrupt,v,To stop while in progress,ማቋረጥ,
2601,intersect,v,To cut through or into so as to divide,መቆራረጥ,
2602,intervale,n,"A low tract of land between hills, especially along a river",ሸለቆ,
2603,intervene,v,To interfere for some end,መግባት,
2604,intestacy,n,The condition resulting from one's dying not having made a valid will,ያለኑዛዜ መሞት,
2605,intestate,adj,Not having made a valid will,ኑዛዜ የሌለው,
2606,intestine,n,"That part of the digestive tube below or behind the stomach, extending to the anus",አንጀት,
2607,intimacy,n,Close or confidential friendship,መቀራረብ,
2608,intimidate,v,To cause to become frightened,ማስፈራራት,
2609,intolerable,adj,Insufferable,የማይታገስ,
2610,intolerance,n,Inability or unwillingness to bear or endure,አለመቻል,
2611,intolerant,adj,Bigoted,የማይታገስ,
2612,intoxicant,n,Anything that unduly exhilarates or excites,አስካሪ,
2613,intoxicate,v,To make drunk,ማሰክር,
2614,intracellular,adj,Occurring or situated within a cell,ከሴል ውስጥ,
2615,intractable,adj,"extremely stubborn, not able to be solved",የማይታረም,
2616,intramural,adj,Situated within the walls of a city,ከከተማ ውስጥ,
2617,intrepid,adj,"Fearless and bold,,brave, fearless, lacking trepidation",ደፋር,
2618,intricacy,n,Perplexity,ውስብስብነት,
2619,intricate,adj,Difficult to follow or understand,ውስብስብ,
2620,intrigue,n,"A plot or scheme, usually complicated and intended to accomplish something by secret ways",ሴራ,
2621,intrinsic,adj,Inherent,ውስጣዊ,
2622,introductory,adj,Preliminary,መግቢያ,
2623,introgression,n,Entrance,መግቢያ,
2624,intromit,v,To insert,ማስገባት,
2625,introspect,v,To look into,መመርመር,
2626,introspection,n,The act of observing and analyzing one's own thoughts and feelings,ራስን መመርመር,
2627,introspective,adj,looking inward,ራስን የሚመረምር,
2628,introversion,n,"The act of turning or directing inward, physically or mentally",ወደ ውስጥ መዞር,
2629,introvert,v,To turn within,ወደ ውስጥ መዞር,
2630,intrude,v,To come in without leave or license,ሳይፈቀድ መግባት,
2631,intrusion,n,The act of entering without warrant or invitation; encroachment,ያለፈቃድ መግባት,
2632,intuition,n,Instinctive knowledge or feeling,ውስጣዊ ስሜት,
2633,inundate,v,To fill with an overflowing abundance,ማጥለቅለቅ,
2634,inundation,n,Flood,ጎርፍ,
2635,inure,v,"To harden or toughen by use, exercise, or exposure",ማላመድ,
2636,invalid,adj,"Having no force, weight, or cogency,,One who is disabled by illness or injury",የማይሰራ,
2637,invalidate,v,To render of no force or effect,ማስቀረት,
2638,invaluable,adj,Exceedingly precious,ከበሬታ በላይ,
2639,invariable,adj,Unchangeable,የማይለወጥ,
2640,invasion,n,"Encroachment, as by an act of intrusion or trespass",ወረራ,
2641,invective,n,"An utterance intended to cast censure, or reproach",ውግዘት,
2642,inveigh,v,To utter vehement censure or invective,ማውገዝ,
2643,inventive,adj,Quick at contrivance,ፈጠራ,
2644,inverse,adj,Contrary in tendency or direction,ተቃራኒ,
2645,inversion,n,Change of order so that the first shall become last and the last first,መቀየር,
2646,invert,v,"To turn inside out, upside down, or in opposite direction",ማዞር,
2647,investigator,n,One who investigates,መርማሪ,
2648,investor,n,One who invests money,ኢንቨስተር,
2649,inveterate,adj,Habitual,ልማዳዊ,
2650,invidious,adj,Showing or feeling envy,ቅናት,
2651,invigorate,v,To animate,ማነቃቃት,
2652,invincible,adj,"Not to be conquered, subdued, or overcome",የማይሸነፍ,
2653,inviolable,adj,Incapable of being injured or disturbed,የማይጣስ,
2654,invoke,v,"To call on for assistance or protection,,to call upon",መጥራት,
2655,involuntary,adj,Unwilling,ያልተፈለገ,
2656,involution,n,Complication,ውስብስብነት,
2657,involve,v,"To draw into entanglement, literally or figuratively",ማሳተፍ,
2658,invulnerable,adj,That can not be wounded or hurt,የማይቆሰል,
2659,inwardly,adv,With no outward manifestation,በውስጥ,
2660,iota,n,A small or insignificant mark or part,ትንሽ,
2661,irascible,adj,Prone to anger,ተቆጣጣሪ,
2662,irate,adj,Moved to anger,የተቆጣ,
2663,ire,n,Wrath,ቁጣ,
2664,iridescence,n,A many-colored appearance,ቀለም,
2665,iridescent,adj,Exhibiting changing rainbow-colors due to the interference of the light,ቀለም,
2666,irk,v,"To afflict with pain, vexation, or fatigue",ማስቸገር,
2667,irksome,adj,Wearisome,አስቸጋሪ,
2668,irony,n,Censure or ridicule under cover of praise or compliment,አስቂኝ,
2669,irradiance,n,Luster,ብርሃን,
2670,irradiate,v,To render clear and intelligible,ማብራራት,
2671,irrational,adj,Not possessed of reasoning powers or understanding,ምክንያታዊ ያልሆነ,
2672,irreducible,adj,That can not be lessened,የማይቀንስ,
2673,irrefragable,adj,That can not be refuted or disproved,የማይካድ,
2674,irrefrangible,adj,That can not be broken or violated,የማይጣስ,
2675,irrelevant,adj,Inapplicable,ተገቢ ያልሆነ,
2676,irreligious,adj,Indifferent or opposed to religion,ሃይማኖት የሌለው,
2677,irreparable,adj,That can not be rectified or made amends for,የማይታረም,
2678,irrepressible,adj,That can not be restrained or kept down,የማይታገስ,
2679,irresistible,adj,That can not be successfully withstood or opposed,የማይቋቋም,
2680,irresponsible,adj,Careless of or unable to meet responsibilities,ኃላፊነት የሌለው,
2681,irreverence,n,"The quality showing or expressing a deficiency of veneration, especially for sacred things",አለመክበር,
2682,irreverent,adj,"Showing or expressing a deficiency of veneration, especially for sacred things",የማያከብር,
2683,irreverential,adj,"Showing or expressing a deficiency of veneration, especially for sacred things",የማያከብር,
2684,irreversible,adj,Irrevocable,የማይመለስ,
2685,irrigant,adj,Serving to water lands by artificial means,የሚያጠጣ,
2686,irrigate,v,"To water, as land, by ditches or other artificial means",ማጠጣት,
2687,irritable,adj,Showing impatience or ill temper on little provocation,ተቆጣጣሪ,
2688,irritancy,n,The quality of producing vexation,ማስቆጣት,
2689,irritant,n,"A mechanical, chemical, or pathological agent of inflammation, pain, or tension",ማስቆጣት,
2690,irritate,v,To excite ill temper or impatience in,ማስቆጣት,
2691,irruption,n,Sudden invasion,ድንገተኛ ወረራ,
2692,isle,n,An island,ደሴት,
2693,islet,n,A little island,ትንሽ ደሴት,
2694,isobar,n,A line joining points at which the barometric pressure is the same at a specified moment,አይሶባር,
2695,isochronous,adj,Relating to or denoting equal intervals of time,እኩል ጊዜ,
2696,isolate,v,To separate from others of its kind,ማግለል,
2697,isothermal,adj,Having or marking equality of temperature,እኩል ሙቀት,
2698,itinerant,adj,Wandering,ተቅበዝባዥ,
2699,itinerary,n,A detailed account or diary of a journey,የጉዞ መርሃ ግብር,
2700,itinerate,v,To wander from place to place,መዞር,
2701,jaded,adj,"world-weary, suffering from a surfeit of luxury, filled with ennui",የደከመ,
2702,jargon,n,"Confused, unintelligible speech or highly technical speech",ቃላት,
2703,jaundice,n,"A morbid condition, due to obstructed excretion of bile or characterized by yellowing of the skin",የቢሊ በሽታ,
2704,jeopardize,v,To imperil,አደጋ ላይ መጣል,
2705,Jingo,n,One of a party in Great Britain in favor of spirited and demonstrative foreign policy,ጂንጎ,
2706,jocose,adj,Done or made in jest,አስቂኝ,
2707,jocular,adj,Inclined to joke,አስቂኝ,
2708,joggle,n,A sudden irregular shake or a push causing such a shake,ማንቀጥቀጥ,
2709,journalize,v,To keep a diary,ማስታወሻ,
2710,joust,v,To engage in a tilt with lances on horseback,መዋጋት,
2711,jovial,adj,"Merry,,good natured, merry, given to joking",ደስተኛ,
2712,jubilation,n,Exultation,ደስታ,
2713,judgment,n,The faculty by the exercise of which a deliberate conclusion is reached,ፍርድ,
2714,judicature,n,Distribution and administration of justice by trial and judgment,ፍርድ ቤት,
2715,judicial,adj,Pertaining to the administration of justice,የፍርድ,
2716,judiciary,n,That department of government which administers the law relating to civil and criminal justice,የፍርድ ቤት,
2717,judicious,adj,"Prudent,,wise, marked by good judgment",ልባም,
2718,juggle,v,To play tricks of sleight of hand,ማታለል,
2719,jugglery,n,The art or practice of sleight of hand,ማታለል,
2720,jugular,adj,Pertaining to the throat,የጉሮሮ,
2721,juicy,adj,Succulent,ጭማቂ,
2722,junction,n,The condition of being joined,መገናኛ,
2723,juncture,n,"An articulation, joint, or seam",መገናኛ,
2724,junta,n,A council or assembly that deliberates in secret upon the affairs of government,ጁንታ,
2725,juridical,adj,Assumed by law to exist,የህግ,
2726,jurisdiction,n,Lawful power or right to exercise official authority,ሥልጣን,
2727,jurisprudence,n,The science of rights in accordance with positive law,የህግ ጥናት,
2728,juror,n,One who serves on a jury or is sworn in for jury duty in a court of justice,ዳኛ,
2729,justification,n,Vindication,ማስረዳት,
2730,juvenile,adj,Characteristic of youth,ወጣት,
2731,juxtapose,v,To place close together,አጠገብ ማድረግ,
2732,keepsake,n,Anything kept or given to be kept for the sake of the giver,መታሰቢያ,
2733,kerchief,n,"A square of linen, silk, or other material, used as a covering for the head or neck",መሸፈኛ,
2734,kernel,n,A grain or seed,እህል,
2735,kiln,n,"An oven or furnace for baking, burning, or drying industrial products",ምድጃ,
2736,kiloliter,n,One thousand liters,ኪሎሊትር,
2737,kilometer,n,"A length of 1,000 meters",ኪሎሜትር,
2738,kilowatt,n,One thousand watts,ኪሎዋት,
2739,kimono,n,"A loose robe, fastening with a sash, the principal outer garment in Japan",ኪሞኖ,
2740,kind-hearted,adj,Having a kind and sympathetic nature,ቸር,
2741,kinetic,adj,pertaining to motion,የእንቅስቃሴ,
2742,kingling,n,A petty king,ትንሽ ንጉስ,
2743,kingship,n,Royal state,ንግሥና,
2744,kinsfolk,n,pl Relatives,ዘመዶች,
2745,knavery,n,Deceitfulness in dealing,ተንኮል,
2746,knead,v,"To mix and work into a homogeneous mass, especially with the hands",መቅረጽ,
2747,knickknack,n,"A small article, more for ornament that use",የማስጌጫ,
2748,knight errant,n,One of the wandering knights who in the middle ages went forth in search of adventure,ተቅበዝባዥ ፈረሰኛ,
2749,knighthood,n,Chivalry,ፈረሰኝነት,
2750,laborious,adj,Toilsome,አድካሚ,
2751,labyrinth,n,A maze,ላብሪንት,
2752,lacerate,v,To tear rudely or raggedly,ማቀደድ,
2753,lackadaisical,adj,Listless,ሰነፍ,
2754,laconic,adj,sparing in words,አጭር,
2755,lactation,n,The secretion of milk,ጡት ማጥባት,
2756,lacteal,adj,Milky,የወተት,
2757,lactic,adj,Pertaining to milk,የወተት,
2758,laddie,n,A lad,ወንድ ልጅ,
2759,ladle,n,"A cup-shaped vessel with a long handle, intended for dipping up and pouring liquids",መጠመቂያ,
2760,laggard,adj,Falling behind,ዘገምተኛ,
2761,landholder,n,Landowner,የመሬት ባለቤት,
2762,landlord,n,A man who owns and lets a tenement or tenements,ባለቤት,
2763,landmark,n,A familiar object in the landscape serving as a guide to an area otherwise easily lost track of,ምልክት,
2764,landscape,n,"A rural view, especially one of picturesque effect, as seen from a distance or an elevation",መልክዓ ምድር,
2765,languid,adj,Relaxed,ደካማ,
2766,languor,n,Lassitude of body or depression,ድካም,
2767,lapse,n,"A slight deviation from what is right, proper, or just",ስህተት,
2768,lascivious,adj,Lustful,ሥጋዊ,
2769,lassie,n,A little lass,ሴት ልጅ,
2770,latency,n,The state of being dormant,ስውርነት,
2771,latent,adj,Dormant,ስውር,
2772,later,adv,At a subsequent time,በኋላ,
2773,lateral,adj,Directed toward the side,የጎን,
2774,latish,adj,Rather late,ዘግይቶ,
2775,lattice,n,"Openwork of metal or wood, formed by crossing or interlacing strips or bars",ፍርግም,
2776,laud,v,"To praise in words or song,,to praise",ማመስገን,
2777,laudable,adj,Praiseworthy,የሚደነቅ,
2778,laudation,n,High praise,ምስጋና,
2779,laudatory,adj,"Pertaining to, expressing, or containing praise",የምስጋና,
2780,laundress,n,Washerwoman,አጋቢ,
2781,laureate,adj,"Crowned with laurel, as a mark of distinction",ዘውድ,
2782,lave,v,To wash or bathe,መታጠብ,
2783,lawgiver,n,A legislator,ህግ አውጪ,
2784,lawmaker,n,A legislator,ህግ አውጪ,
2785,lax,adj,Not stringent or energetic,ዘና,
2786,laxative,adj,Having power to open or loosen the bowels,የሆድ መክፈቻ,
2787,lea,n,A field,ሜዳ,
2788,leaflet,n,A little leaf or a booklet,ቅጠል,
2789,leaven,v,"To make light by fermentation, as dough",ማፍላት,
2790,leeward,n,That side or direction toward which the wind blows,የንፋስ አቅጣጫ,
2791,left-handed,adj,Using the left hand or arm more dexterously than the right,ግራ-እጅ,
2792,legacy,n,A bequest,ውርስ,
2793,legalize,v,To give the authority of law to,ህጋዊ ማድረግ,
2794,legging,n,A covering for the leg,የእግር መሸፈኛ,
2795,legible,adj,That may be read with ease,ለማንበብ የሚቻል,
2796,legionary,n,A member of an ancient Roman legion or of the modern French Legion of Honor,ሌጌዎን,
2797,legislate,v,To make or enact a law or laws,ህግ ማውጣት,
2798,legislative,adj,That makes or enacts laws,የህግ አውጪ,
2799,legislator,n,A lawgiver,ህግ አውጪ,
2800,legitimacy,n,Accordance with law,ህጋዊነት,
2801,legitimate,adj,Having the sanction of law or established custom,ህጋዊ,
2802,leisure,n,Spare time,እረፍት,
2803,leniency,n,Forbearance,መታገስ,
2804,lenient,adj,Not harsh,ታጋሽ,
2805,leonine,adj,Like a lion,እንደ አንበሳ,
2806,lethargy,n,Prolonged sluggishness of body or mind,እንቅልፍ,
2807,levee,n,"An embankment beside a river or stream or an arm of the sea, to prevent overflow",ግድብ,
2808,lever,n,"That which exerts, or through which one may exert great power",ሊቨር,
2809,leviathan,n,"Any large animal, as a whale",ግዙፍ እንስሳ,
2810,levity,n,Frivolity,ቀላል,
2811,levy,v,To impose and collect by force or threat of force,ማስገደድ,
2812,lewd,adj,Characterized by lust or lasciviousness,ሥጋዊ,
2813,lexicographer,n,One who makes dictionaries,መዝገበ ቃላት አዘጋጅ,
2814,lexicography,n,The making of dictionaries,መዝገበ ቃላት አዘገጃጀት,
2815,lexicon,n,A dictionary,መዝገበ ቃላት,
2816,liable,adj,Justly or legally responsible,ተጠያቂ,
2817,libel,n,Defamation,ስም ማጥፋት,
2818,liberalism,n,Opposition to conservatism,ሊበራሊዝም,
2819,liberate,v,To set free or release from bondage,ነጻ ማውጣት,
2820,licentious,adj,Wanton,ሥጋዊ,
2821,licit,adj,Lawful,ህጋዊ,
2822,liege,adj,Sovereign,ንጉስ,
2823,lien,n,"A legal claim or hold on property, as security for a debt or charge",የይገባኛል,
2824,lieu,n,Stead,ምትክ,
2825,lifelike,adj,Realistic,እውነተኛ,
2826,lifelong,adj,Lasting or continuous through life,የህይወት ዘመን,
2827,lifetime,n,The time that life continues,የህይወት ዘመን,
2828,ligament,n,That which binds objects together,ጅማት,
2829,ligature,n,"Anything that constricts, or serves for binding or tying",ማሰሪያ,
2830,light-hearted,adj,Free from care,ደስተኛ,
2831,ligneous,adj,Having the texture of appearance of wood,የዛፍ,
2832,likelihood,n,A probability,ዕድል,
2833,likely,adj,Plausible,የሚቻል,
2834,liking,n,Fondness,መውደድ,
2835,limitation,n,A restriction,ውስንነት,
2836,linear,adj,Of the nature of a line,የመስመር,
2837,liner,n,A vessel belonging to a steamship-line,የመርከብ,
2838,lingo,n,Language,ቋንቋ,
2839,lingua,n,The tongue,ምላስ,
2840,lingual,adj,Pertaining to the use of the tongue in utterance,የምላስ,
2841,linguist,n,One who is acquainted with several languages,የቋንቋ ሊቅ,
2842,linguistics,n,"The science of languages, or of the origin, history, and significance of words",የቋንቋ ጥናት,
2843,liniment,n,"A liquid preparation for rubbing on the skin in cases of bruises, inflammation, etc",መቀቢያ,
2844,liquefacient,adj,Possessing a liquefying nature or power,የሚቀልጥ,
2845,liquefy,v,To convert into a liquid or into liquid form,ማቅለጥ,
2846,liqueur,n,An alcoholic cordial sweetened and flavored with aromatic substances,አልኮል,
2847,liquidate,v,To deliver the amount or value of,ማጥፋት,
2848,liquor,n,Any alcoholic or intoxicating liquid,አልኮል,
2849,listless,adj,"Inattentive,,lacking energy",ሰነፍ,
2850,literacy,n,The state or condition of knowing how to read and write,ማንበብና መጻፍ,
2851,literal,adj,Following the exact words,ቃል በቃል,
2852,literature,n,The written or printed productions of the human mind collectively,ሥነ-ጽሑፍ,
2853,lithe,adj,Supple,ተጣጣፊ,
2854,lithesome,adj,Nimble,አጥባቂ,
2855,lithograph,n,A print made by printing from stone,ሊቶግራፍ,
2856,lithotype,n,"In engraving, an etched stone surface for printing",ሊቶታይፕ,
2857,litigant,n,A party to a lawsuit,ተከራካሪ,
2858,litigate,v,To cause to become the subject-matter of a suit at law,መከራከር,
2859,litigious,adj,Quarrelsome,ከራካሪ,
2860,littoral,adj,"Of, pertaining to, or living on a shore",የባህር ዳር,
2861,liturgy,n,A ritual,ሥርዓት,
2862,livelihood,n,Means of subsistence,መተዳደሪያ,
2863,livid,adj,"Black-and-blue, as contused flesh",ጥቁር,
2864,loam,n,A non-coherent mixture of sand and clay,ሸክላ,
2865,loath,adj,Averse,አላፈላጊ,
2866,loathe,v,To abominate,መጥላት,
2867,locative,adj,"Indicating place, or the place where or wherein an action occurs",የቦታ,
2868,loch,n,A lake,ሐይቅ,
2869,locomotion,n,The act or power of moving from one place to another,መንቀሳቀስ,
2870,lode,n,A somewhat continuous unstratified metal- bearing vein,የማዕድን ሰርጥ,
2871,lodgment,n,The act of furnishing with temporary quarters,ማስተናገድ,
2872,logic,n,The science of correct thinking,ሎጂክ,
2873,logical,adj,Capable of or characterized by clear reasoning,ምክንያታዊ,
2874,logician,n,An expert reasoner,ሎጂክ ባለሙያ,
2875,loiterer,n,One who consumes time idly,ተቅበዝባዥ,
2876,loneliness,n,Solitude,ብቸኝነት,
2877,longevity,n,Unusually prolonged life,ረጅም ዕድሜ,
2878,loot,v,To plunder,መዘረፍ,
2879,loquacious,adj,"Talkative,,talkative",ተናጋሪ,
2880,lordling,n,A little lord,ትንሽ ጌታ,
2881,lough,n,A lake or loch,ሐይቅ,
2882,louse,n,A small insect parasitic on and sucking the blood of mammals,ቅማል,
2883,lovable,adj,Amiable,የሚወደድ,
2884,lowly,adv,Rudely,በዝቅተኛ,
2885,low-spirited,adj,Despondent,ተስፋ የቆረጠ,
2886,lucid,adj,"Mentally sound,,clear",ግልጽ,
2887,lucrative,adj,Highly profitable,ትርፋማ,
2888,ludicrous,adj,"Laughable,,laughable",አስቂኝ,
2889,luminary,n,One of the heavenly bodies as a source of light,ብርሃን,
2890,luminescence,n,Showing increase,ብርሃን,
2891,luminescent,adj,Showing increase of light,የሚያብረቀርቅ,
2892,luminosity,n,The quality of giving or radiating light,ብርሃን,
2893,luminous,adj,Giving or radiating light,ብሩህ,
2894,lunacy,n,Mental unsoundness,እብድነት,
2895,lunar,adj,Pertaining to the moon,የጨረቃ,
2896,lunatic,n,An insane person,እብድ,
2897,lune,n,The moon,ጨረቃ,
2898,lurid,adj,Ghastly and sensational,አስፈሪ,
2899,luscious,adj,"Rich, sweet, and delicious",ጣፋጭ,
2900,lustrous,adj,Shining,የሚያብረቀርቅ,
2901,luxuriance,n,Excessive or superfluous growth or quantity,ብዛት,
2902,luxuriant,adj,Abundant or superabundant in growth,የተትረፈረፈ,
2903,luxuriate,v,To live sumptuously,በብዛት መኖር,
2904,lying,n,Untruthfulness,ውሸት,
2905,lyre,n,One of the most ancient of stringed instruments of the harp class,ሊሬ,
2906,lyric,adj,Fitted for expression in song,የግጥም,
2907,macadamize,v,"To cover or pave, as a path or roadway, with small broken stone",ማስተካከል,
2908,machinery,n,"The parts of a machine or engine, taken collectively",ማሽነሪ,
2909,machinist,n,"One who makes or repairs machines, or uses metal-working tools",ማሽን ሰራተኛ,
2910,macrocosm,n,The whole of any sphere or department of nature or knowledge to which man is related,ማክሮኮስም,
2911,madden,v,To inflame with passion,ማበሳጨት,
2912,Madonna,n,"A painted or sculptured representation of the Virgin, usually with the infant Jesus",ማዶና,
2913,magician,n,A sorcerer,ጠንቋይ,
2914,magisterial,adj,Having an air of authority,ባለሥልጣን,
2915,magistracy,n,The office or dignity of a magistrate,የፍርድ ቤት ሹመት,
2916,magnanimous,adj,"Generous in treating or judging others,,great in spirit, extremely generous",ልግስና,
2917,magnate,n,"person of power or influence,,A person of rank or importance",ባለሥልጣን,
2918,magnet,n,A body possessing that peculiar form of polarity found in nature in the lodestone,ማግኔት,
2919,magnetize,v,"To make a magnet of, permanently, or temporarily",ማግኔት ማድረግ,
2920,magnificence,n,"The exhibition of greatness of action, character, intellect, wealth, or power",ታላቅነት,
2921,magnificent,adj,"Grand or majestic in appearance, quality, or action",ታላቅ,
2922,magnitude,n,Importance,መጠን,
2923,maharaja,n,A great Hindu prince,ማሃራጃ,
2924,maidenhood,n,Virginity,ድንግልና,
2925,maintain,v,To hold or preserve in any particular state or condition,መጠበቅ,
2926,maintenance,n,That which supports or sustains,ጥገና,
2927,maize,n,Indian corn: usually in the United States called simply corn,በቆሎ,
2928,makeup,n,The arrangements or combination of the parts of which anything is composed,ሜካፕ,
2929,malady,n,"Any physical disease or disorder, especially a chronic or deep-seated one",በሽታ,
2930,malaria,n,"A fever characterized by alternating chills, fever, and sweating",ወባ,
2931,malcontent,n,One who is dissatisfied with the existing state of affairs,እርካታ የሌለው,
2932,malediction,n,The calling down of a curse or curses,እርግማን,
2933,malefactor,n,One who injures another,በደለኛ,
2934,maleficent,adj,Mischievous,አደገኛ,
2935,malevolence,n,Ill will,ተንኮል,
2936,malevolent,adj,"Wishing evil to others,,evil",ተንኮለኛ,
2937,malice,n,evil intent,ተንኮል,
2938,malign,v,"To speak evil of, especially to do so falsely and severely",ማውገዝ,
2939,malignant,adj,Evil in nature or tending to do great harm or mischief,አደገኛ,
2940,malleable,adj,Pliant,ተጣጣፊ,
2941,mallet,n,A wooden hammer,መዶሻ,
2942,maltreat,v,"To treat ill, unkindly, roughly, or abusively",ማስጨነቅ,
2943,mandate,n,A command,ትእዛዝ,
2944,mandatory,adj,"Expressive of positive command, as distinguished from merely directory",የግድ,
2945,mane,n,"The long hair growing upon and about the neck of certain animals, as the horse and the lion",ጠጉር,
2946,man-eater,n,An animal that devours human beings,ሰው በላ,
2947,maneuver,v,To make adroit or artful moves: manage affairs by strategy,ማዘዋወር,
2948,mania,n,Insanity,እብድነት,
2949,maniac,n,a person raving with madness,እብድ,
2950,manifesto,n,"A public declaration, making announcement, explanation or defense of intentions, or motives",ማኒፌስቶ,
2951,manlike,adj,Like a man,እንደ ወንድ,
2952,manliness,n,"The qualities characteristic of a true man, as bravery, resolution, etc",ወንድነት,
2953,mannerism,n,"Constant or excessive adherence to one manner, style, or peculiarity, as of action or conduct",ባህሪ,
2954,manor,n,The landed estate of a lord or nobleman,ግዛት,
2955,mantel,n,"The facing, sometimes richly ornamented, about a fireplace, including the usual shelf above it",የእሳት ማደያ,
2956,mantle,n,A cloak,መጎናጸፊያ,
2957,man-trap,n,A place or structure dangerous to human life,አደገኛ ቦታ,
2958,manufacturer,n,A person engaged in manufacturing as a business,አምራች,
2959,manumission,n,Emancipation,ነጻ ማውጣት,
2960,manumit,v,To set free from bondage,ነጻ ማውጣት,
2961,marine,adj,Of or pertaining to the sea or matters connected with the sea,የባህር,
2962,maritime,adj,Situated on or near the sea,የባህር,
2963,maroon,v,To put ashore and abandon (a person) on a desolate coast or island,መተው,
2964,martial,adj,Pertaining to war or military operations,የጦር,
2965,Martian,adj,"Pertaining to Mars, either the Roman god of war or the planet",የማርስ,
2966,martyrdom,n,Submission to death or persecution for the sake of faith or principle,ሰማዕትነት,
2967,marvel,v,To be astonished and perplexed because of (something),መደነቅ,
2968,masonry,n,"The art or work of constructing, as buildings, walls, etc , with regularly arranged stones",የግንበኝነት,
2969,masquerade,n,A social party composed of persons masked and costumed so as to be disguised,ማስኬሬድ,
2970,massacre,n,The unnecessary and indiscriminate killing of human beings,እልቂት,
2971,massive,adj,Of considerable bulk and weight,ግዙፍ,
2972,masterpiece,n,A superior production,ድንቅ ስራ,
2973,mastery,n,The attainment of superior skill,ችሎታ,
2974,material,n,That of which anything is composed or may be constructed,ቁሳቁስ,
2975,materialize,v,To take perceptible or substantial form,ተጨባጭ ማድረግ,
2976,maternal,adj,Pertaining or peculiar to a mother or to motherhood,የእናት,
2977,matinee,n,An entertainment (especially theatrical) held in the daytime,የቀን ትርኢት,
2978,matricide,n,"The killing, especially the murdering, of one's mother",የእናት ግድያ,
2979,matrimony,n,The union of a man and a woman in marriage,ጋብቻ,
2980,matrix,n,That which contains and gives shape or form to anything,ማትሪክስ,
2981,matter of fact,n,Something that has actual and undeniable existence or reality,እውነታ,
2982,maudlin,adj,Foolishly and tearfully affectionate,ስሜታዊ,
2983,mausoleum,n,A tomb of more than ordinary size or architectural pretensions,መቃብር,
2984,mawkish,adj,Sickening or insipid,ጣዕም የሌለው,
2985,maxim,n,A principle accepted as true and acted on as a rule or guide,መርህ,
2986,maze,n,A labyrinth,ላብሪንት,
2987,mead,n,A meadow,ሜዳ,
2988,meager,adj,scanty,ትንሽ,
2989,mealy-mouthed,adj,Afraid to express facts or opinions plainly,የሚያመንታት,
2990,meander,v,To wind and turn while proceeding in a course,መዘዋወር,
2991,mechanics,n,The branch of physics that treats the phenomena caused by the action of forces,ሜካኒክስ,
2992,medallion,n,A large medal,ሽልማት,
2993,meddlesome,adj,Interfering,ጣልቃ ገብ,
2994,medial,adj,Of or pertaining to the middle,መካከለኛ,
2995,mediate,v,To effect by negotiating as an agent between parties,ማስታረቅ,
2996,medicine,n,A substance possessing or reputed to possess curative or remedial properties,መድሀኒት,
2997,medieval,adj,Belonging or relating to or descriptive of the middle ages,መካከለኛ ዘመን,
2998,mediocre,adj,Ordinary,መካከለኛ,
2999,meditation,n,The turning or revolving of a subject in the mind,ማሰላሰል,
3000,medley,n,A composition of different songs or parts of songs arranged to run as a continuous whole,ሜድሌ,
3001,melancholy,"n,adj","sad, depressed; sadness, depression",ሀዘን,
3002,meliorate,v,"To make better or improve, as in quality or social or physical condition",ማሻሻል,
3003,mellifluous,adj,"Sweetly or smoothly flowing,,smooth flowing",ጣፋጭ,
3004,melodious,adj,Characterized by a sweet succession of sounds,ጥሩ ድምጽ,
3005,melodrama,n,A drama with a romantic story or plot and sensational situation and incidents,ሜሎድራማ,
3006,memento,n,A souvenir,መታሰቢያ,
3007,memorable,adj,Noteworthy,የማይረሳ,
3008,menace,n,A threat,ስጋት,
3009,menagerie,n,"A collection of wild animals, especially when kept for exhibition",የእንስሳት ማሳያ,
3010,mendacious,adj,Untrue,ውሸት,
3011,mendicant,n,"A beggar,,extremely poor and given to begging / a beggar",ለማኝ,
3012,mentality,n,Intellectuality,አስተሳሰብ,
3013,mentor,n,"A wise and faithful teacher, guide, and friend",አማካሪ,
3014,mercantile,adj,Conducted or acting on business principles; commercial,የንግድ,
3015,mercenary,adj,"Greedy,,pertaining to acquiring money and financial gain",ስግብግብ,
3016,merciful,adj,Disposed to pity and forgive,ሩህራህ,
3017,merciless,adj,Cruel,ጨካኝ,
